Review	Sentiment
Pica je prva liga, nema joj se sta zameriti.I dalje se nadam da ce cene biti malo nize u buducnosti.Sve najbolje preporuke, necete pogresiti.	1
"Porudžbina se sastojala iz karađorđeve šnicle i porcije kanelona sa sirom i spanaćem. Karađorđeva je krajnje osrednja, a ""kaneloni"" su potpuni promašaj. Neću ponovo poručivati odavde."	0
U okviru dostave nisu se nashle gratis palacinke koje su najavljene.Za supu nema pribora.	0
Stigla pre najavljenog vremena topla i bas bogato nafilovana.	1
sve ok ali pice nismo dobili.	1
Odlicni fileti oslića:-)	1
Odlicna hrana i usluga	1
Vrlo dobra Kaprićoza, blaga, sa dosta sadržaja, pre svega pečuraka i maslina. Zaista lepo spremljeno, nema šta.	1
Two of the Granders were not cooked, raw chicken?? how did they manage that? Had to give it to my dogs as will not eat raw chicken. KFC really messed up this time.	0
Prihvatili porudzbinu i nisu isporucili	0
svaka cast na porcijama i kvalitetu hrane	1
nothing special	0
Dve limenke gratis naravno nismo dobili. Sto se tice same hrane sve je bilo u redu osim pomfrita koji je bio dekav i bezukusan.	0
Veoma ukusno... Jeftino i brzo.	1
Hrana je stigla samo pola sata nakon naručivanja. Supa je i dalje bila vrela. Već sam naručivao kod njih i definitivno ću nastaviti jer im je hrana fenomenalna, a cene još bolje.	1
Tačni u minut, ukus božanstven. Graciozna hrana, odvažna i virtuozno ukusna!	1
Jednom recju odlicno...	1
Dostava je bila blago receno uzas. 3 puta su se vracali da bi doneli sve sto smo narucili, i ovo je vec treci put da se to dogadja. Definitivno vise od njih necemo narucivati.	0
Hrana zaista nista posebno, licno sam jeo gotova jela i nisam uopste zadovoljan... jedino je isporuka expresna pohvale samo za to!	0
testo bledo sve ostalo  mokro od kondenzata ....	0
Hrana odlična, brza isporuka!	1
Narucila sam dve porcije cevapa sa posebno naglasenim komentarom da lepinju ne zelim kako sam i platila a dobila jednu porciju cevapa i pomfrit.	0
Isporuka tačno na vreme, kvalitet više nego odličan.	1
Fali tartar sos što bi trebalo da ide uz pilecu korpu.	0
moze to i mnogo bolje...ukusnije.	0
Preporucujemo beli rizoto!!! Ispostovano vreme dostave	1
Porcije su ogromne,a ukus odlican!	1
Kratko i jasno svaka vam cast!	1
super palačinke	1
Vrlo ukusno, toplo, dostava na vreme, posebni zahtev ispoštovan. 5+	1
Kao i uvek. Odlična i vrlo kvalitetna usluga!!!	1
Stiglo je na vreme i toplo,ali lazanje nisu kao prosli put mnogo manje sunke i mnogo manje sira ima sad,ali sto se ukusa tice ok je...pilece belo punjeno je odlicno...	0
SAVOCA PIZZA JE DEFINITIVNO NAJBOLJA PIZZA U Novom Sadu !!!!!!!!!!!!!!! Svaka cast...	1
Sasvim korektan obrok. Jedina zamerka je što klopu nose u kesi pa se ohladi. Osoblje veoma ljubazno.	1
Prva liga...	1
pica velika koja je malo veca od mini pice, stiglo za sat i 15 munuta skroz hladno	0
Standardno dobro!	1
iskreno,ne vrede toliko.nista specijalno	0
Ovo je sve samo ne piletina u hoisin i peking sosu. Ima ukus, teksturu i izgled kao tempera. Nikad vise iz ovog restorana ne narucujemo.	0
Dugo treba dostavljacu, i kvitet hrand treba biti poboljsan a i porcije. Ne stedeti!	0
Odličan giros !!	1
I dalje brzo, ukusno, ljubazno. Sve preporuke.	1
Za taj novac mogla bi biti malo veca, jer ovo je dosta mala. Ukusna je i lepo spremljena, ali kao sto kazem prilicno mala kolicinski i skromna s prilozima. U glavnom od mene samo ok.	0
I am satisfied completely :)	1
Omlet dobar, rizoto mi se ne svidja, sitan pirinac i nesto mi se ne svidja.	0
Stiglo na vreme, sendvic je dobar, banana split odlican :)	1
10 min pre roka dostava, dostavljac ljubazan.	1
Obicno me mrzi da dajem utiske ali sam pre neki dan narucio lososa..u zivotu nisam jeo slanij. tako da sam moras stvarno to da napisem .ne znam da li neko voli tako..ja definitivno ne	0
Kora je fantastična, kombinacija sastojaka savrsena. Samo reči hvale.	1
Veganski sushi set smo naručili, i potpuno smo oduševljeni :)	1
Dobio sam tortilju sa povrcem i 3 parceta piletine, ukusno ali preskupo za kvalitet koji nosi.	0
od svega navedenog sam dobio nudle i ajde recimo jaje. umesto teletine sam dobio piletinu a umesto secuana sam dobio soja sos... sta reci osim strasno!!!	0
Stiglo na minut.. velike porcije.. cene su u redu.. i drugi put	1
Hrana je ona srpska varijanta kineske hrane, moze da prodje kad je covek gladan ali nema bas veze sa pravom kineskom hranom.	0
Kvalitna hrana i odlican kuvar! Zapecene palacinke, njam njam :)	1
Nekoliko puta porucujem i svaki put sam prezadovoljna.	1
Dostava prijatna, uvek vruce, pomfrit prelep, o pljeskavici na kajmaku da ne pricam. Po obicaju- sve perfektno.	1
Porucio sam 2 paste. obe korektne ali moramo da uzmemo u obzir da je ovo fast food restoran! Mislim da bi morali da koriguju cene ili da uloze u servis jer za sada ovo nije realno.	0
ko na jahorini	1
Trebalo im je više od 70 minuta da dostave hranu, iako je stajalo 45 minuta nakon porudžbine. Ovo nažalost nije prvi put da se to dešava.	0
Iako jasno pise da je dostava za narudzbu preko 1.500 dinara besplatna do ponoci, ona mi je naplacena. Necu vise narucivati iz ove picerije.	0
Sve je bilo super. Hrana je super zapakovana,bila je jos uvek topla,sve je bilo ukusno. Narucujem opet sigurno	1
"Odlicne pice. Probali smo ""La forca"" i ""Madjarica"" pice i bili smo vise nego zadovoljni."	1
mala porcija bez priloga can ni hleb a cena velika	0
Hvala na poklonu tj na palačimkama gratis, coca coli.... očigledno sam zaslužio. Cenim ovaj gest. Sve pohvale	1
100 minuta za dostavu na novi beograd u subotu uvece, neverovatno spora dostava, a i hrana nije nesto	0
Hrana je stigla na verme, topla i ukusna! Sve pohvale jos jednom!	1
NE odustajem od ove hrane...	1
Neponovljivi ukus savrsenih pica...keve mi Nevenke...	1
Odlično, jako ukusno! Preporučujem!	1
Nije lose. Beli luk se oseca u tragovima.	1
Pica nije losa, ali nije nista posebno.	0
Odlicna usluga, kvalitet, ukus, sve je na visokom nivou, svaka preporuka. Preporucio bih ljudima da probaju piletinu zaista je odlicna	1
Ima li sta odvratnije od hladne pizze i stvrdntno hladnog sosa za piletinu .... Fujjj ... Nikad vise	0
Prezadovoljan	1
Gore nisam dobio nikada.	0
Kao i uvek, fantasticno!	1
Odlicna hrana,odlicne cene.	1
Narudzbina poslata u 19:38 stigla u 21:31.. Hrana se naravno ohladila i sto je najgore doneta je jedna mala piroska umesto velika.	0
nije bilo sveze	0
Pice su dosle veoma brzo ali verovatno zato sto su samo podgrejane... Zilava kora, skripav sir, definitivno stajalo neko vreme. velika pica je u sustini mala prema standardu drugih picerija...	0
Narucena piletina sa pecurkama i kupusom, stigla sa bambusom. Narucene ljuta i neljuta supa, stigle dve neljute.	0
Izuzetno mala porcija... Kakav je to lanc paket sa samo tri cevapa za takvu cenu	0
Narudžbina je stigla gotovo hladna, pohovani kačkavalj i pomfrit su bili drveni, punjeno belo je bilo odlično iako je i ono bilo skoro hladno...	0
Isporuka na vreme, dostavljač ljubazan. Pica kao i uvek odlična i topla. Palačinke solidne, mogu i bolje. Sve preporuke za ovaj restoran!	1
hrana je ok, ali usluga ne bas, par puta narucili i isporuka je bila regularna, medjutim poslednji put nije isporuceno pice koje je naruceno, restoran je bio nedostupan....	0
Super kao i uvek	1
nisam dobio pribor a bas je nezgodno jesti supu prstima...	0
hrana je zagorela	0
Odlicna klopa	1
Prvoklasna hrana. Odlicna usluga. Sve sto sam do sada narucio je bilo izuzetno ukusno.	1
First off the pancakes are very small. Second they are no were near as good as the price. And there is a delivery charge. Strong suggest not to order	0
ukus kao iz restorana, a ne fast food!	1
previše čekanja na jako prosečan, hladan biroa.	0
Dostava je prihvatila dolazak za 60 minuta, ali je kasnila vise od pola sata. Hrana prosecna	0
Kao i ranije sve bez greske. Preporuka.	1
1 SAT I 40 MINUTA sam cekao na przena jaja i kobasice uz par przenica.	0
Dostava je kasnila preko 20 minuta. Pica je stigla hladna i nema ni 3, a ne 4 vrste sira. Palacinka je bila OK.	0
Ako ste spremni da čekate više od sat i po vremena da donesu picu poručite...	0
kasnjenje 15 minuta hladna pica a zagorela ,blaga nista posebno ,mozda jestiva ako je topla palacinke ok	0
Ukusna i sveža pita, preporučujem.	1
super je karadjordjeva u super lepinji.	1
Hrana standarno dobra, ovaj put sve pohvale za kurira.	1
savršen, jedna porcija dovoljna za dvoje	1
Hrana stigla na vreme. topla, meso ukusno, lepinja je ekstra za razliku od  vecine rostilja na ovom sajtu.	1
rekli 45min.proslo sat vremena i jos nisu doneli.	0
Moram da priznam da nisam ocekivao da hrana bude ovako dobra.	1
veliko razocarenje. na pizzu stavljeno smrznuto povrce iz kese - grasak, kukuruz, sargarepa. to zaista nema veze sa vegetarijanskom pizzom. ne preporucujem.	0
Hrana je osrednjeg kvaliteta. Ima dosta boljih restorana od ovog, a cena nikako ne odgovara kvalitetu.	0
najbolje slatke palacinke koje sam do sada narucivala.	1
Fenomenalno. Vocna pica za preporuku :)	1
Kasnili su pola sata. Hrana je ispod proseka.	0
burito previse gnjecav, mlak, krompirici hladni, mnogo losije nego sto je bilo	0
Ne mogu da kazem kakva je pica, posto je pre sat vremena trebalo da stigne. Ako ikada stigne, ocenicu kvalitet, sada sam vec siguran, neceg sto je potpuno hladno.	0
Perkelt nije zasluzio ni jedinicu.	0
Dostava na vreme (sto nije lako u nasem naselju, gps ne pokriva kako treba, brojevi konfuzni), stiglo toplo, gramaza istinita, kvalitetan rostilj.	1
Smrtna kombinacija jos je doslo toplo uf!Cova sto je dostavio je ljubazan i brzo je stiglo da budem iskren mislim da necu da menjam ovu piceriju :o)	1
Napisali su da ce dostaviti za 60 minuta, trebalo im je sat i 45 minuta! Hrana nije bila topla. Kvalitet hranje je ok	0
Manje-vise sve ok osim sto uvek kasne. Nije mi jasno zasto daju vreme koje ne ispostuju.	0
Narucujem vec 10-ti put, uvek bude odlicno. Bolju picu ne pamtim kad sam jeo	1
Hrana je jako ukusna i pripremljena na originalan nacin. Rolnice su fenomenalne.	1
naruceno i naplaceno sa kajmakom,stigli suvi somuni sa po 4 koluta krastavca,desetak zrnaca luka,mesa u tankom sloju i bez kajmaka kompletno!a naplaceno sa kajmakom!sramota!	0
sve super samo malo vise pacnje da obrate kad peku krilca	1
Ovo je poslednji put da ovde narucujem. Piletina je imala ukus kao da je termicki obradjena pre 3 dana. Sos i povrce je bilo ok.	0
svaka cast. extra ste.	1
Preukusne rolnice. Isporuka stigla i pre odredjenog vreme. Prezadovljni.	1
odlicni su, nesto sasvim drugacije :)	1
Šejk od maline je predivan, cezar salata veoma ukusna. Dostavljači brzi i nasmejani. Envy Food je mmmmm...	1
Preukusna, odlican kvalitet mesa, stiglo vruce i kao i uvek pre vremena!	1
Kao i obično, odlična srpska pica (u mom reonu meni omiljena), sa gratis palačinkama, dostava veoma brza. Sve najbolje.	1
Dostava je kasnila, i naplacena je bez obzira sto pise da se preko 1250 dinara ne naplacuje	0
Vrhunska pica, svaka cast	1
Sve na vrhunskom nivou, meso odlicno, kao i majstor koji je ispekao. Sve pohvale	1
Kolicina bedna cene bezobrazne kvalitet nikakav	0
neverovatno :) jedini u ns za super brzom dostavom :) kobaja ubicxa. Pomfrit vreoooooooooooo  mmmm	1
Ogromna kolicina zdrave hrane za male pare. Sastojci svezi- sto se tice salate. Potaz od brokolija fin, vocna salata sveza, ukusna i zdrava. Puno zdrave hrane za stvarno male pare! Preporuka!	1
Narucio sam dve secuan teletine i dostavljene su u propisano vreme. Porcije su velike, ukus je odlican, jedino sto nedostaje je Ekstra ponuda koju Lee nudi pri offline narucivanju.	1
Drugi put daju vreme od 60min a nema ih ni posle 90, takođe ne pozovu telefonom da kažu da kasne. drugi put. vrlo neposlovno.	0
Hrana i usluga su savrseni. Brzo stigne, vruca hrana. Ogromne porcije. Nikad bolje. Stvarno sve pohvale! 5+	1
Narucili onu mesavinu raznih varijanti i meso je nekako bilo ljigavo, a kora puna masti, i pomfrit je bio mokar. Dostava stigla na vreme. Necemo narucivati ponovo.	0
Jos jedna fotkica i sve pohvala za HOT BOX	1
standardno sve super	1
narucili gedzovalce i pofrit. porcija je velika i dovoljna za barem dve osobe. meso sjajnog ukusa. posebno izdvajam kobasicu koja vrhunska.	1
Sendvici su sjajni, dostava brza. Mogao bi eventualno biti veci izbor hrane.	1
nikad manja porcija, stiglo na adresu skoro hladno ...	0
Nothing to do with mexican food...Guacamole made with Pavlaka?....Never again	0
Veoma los kvalitet svinjskog girosa u porciji.	0
Nemam zamerki.	1
za novac koji trazite, ova piletina je blago receno uzas	0
Preskupo za osrednji kvalitet. Narocito salate.	0
Sve sto sam narucila je preukusno... prolecne rolnice sjajne.. ne znam koji ste tajni sastojak stavili, ali potpuno ih chini drugachijim od ostalih prolecnih rolnica ;)	1
najbolji, kao i uvek!	1
Nisam dobio konzervu Fante i Pica je bila neukusna.	0
Jela sam kormu koja je bila ok. Ali nije bas licila na autenticnu kormu, suvise se osecala  pavlaka.	0
"Uhh, 90 minuta! Pa zar je moguće da im treba 90 minuta? Srećom, ipak je bilo ""samo"" 60 minuta."	0
Na celooo0oOm svetu!	1
zaista prava italijanska pica i to vrhunska, isporuka brza i pre roka. Odrzite kvalitet i nivo usluge. Apsolutna preporucujem ovaj restoran!	1
Naručili smo picu Kum i Pesto con spinaci. Pošto nisu imali pesto dobili smo drugu po izboru dzabe. Pica je odlična. Profi.	1
Perfektno. I vreme isporuke i hrana i pakovanje i ljubaznost. Sve pohvale.	1
Isporuka kasnila 30 min. Giros nije bio giros vec seckani komadici mesa przeni na tiganju ili rostilju, svejedno. Necu vise narucivati	0
Kvalitet hrane loš, hrana je bila stara.	0
Karadjordjeva je bila vruca,lepinja vruca,pomfrit vruc i hrskav,sopska salata odlicna,cena mala,usluga odlicna stiglo je 20 min ranije	1
Zarićev Vajat ne prestaje da bude najbolji roštilj u gradu: Meso savršeno, prilozi ukusni, sveži i lepo raspoređeni, dostava brza, cene pristupačne. Svaka čast!	1
Sve pohvale!!!!!!	1
Sve pohvale i za hranu i za uslugu!	1
Dobro kao uvek	1
Mislim da jedna rec iz naslova najbolje opisuje moj utisak...Najbolja klopa koja je ikada bila na ovom sajt...svaka preporuka...	1
Stigla je dostava pre vremena i lazanje su bile i tople i jako ukusne	1
jako lose, ukratko nas cetvoro je konstatovalo da je nejestiva hrana, ali i pas je odbio da jede ,a on jede sve. Toliko.	0
VRH VRH VRH NEMA RECI DOSTAVA ZA 15 MIN OD PORUDZBINE	1
Standardno brza isporuka, secuan ljut kao sto je naglaseno. Narucujem ponovo sigurno.	1
AKO ZELITE DA UZIVATE U PRAVOJ GURMANSKOJ OVO SIGURNO NIJE RESTORAN ZA TO:(	0
Jako ukusno, somun socan,cevapi odlicni. Narucili smo i kobasice VRLO UKUSNE! Dostava je stigla i pre vremena. Zaista smo zadovoljni	1
Krilca odlicna, rebarca odlicna, amer. palacinke odlicne. I sve za male pare...	1
Sjajna pizza! Vulkano sve preporuke	1
Svaka pohvala za dostavu, hrana je stigla topla i dosta pre vremena (umesto 60min za 25 min)!	1
Odlicno, kao i uvek. Meso je sjajno, lepinja uvek sveza, sve preporuke.	1
Nisu najbrži na svetu ali klopa je zaista odlična. Čizburger je ubica!	1
