masa,jastuk,pojas,ceoni,pol,starost,godina,tip,ishod
33.1359999999,da,ne,1,m,61,2002,vozac,3
51.1369999996,ne,da,0,z,57,1989,putnik,2
9.7849999999,ne,da,0,z,17,1991,putnik,2
86.9099999992,ne,da,0,z,19,1987,vozac,0
345.0869999975,da,ne,0,m,21,1997,vozac,1
302.7349999994,ne,ne,0,m,18,1979,vozac,2
1082.4759999961,,da,1,m,19,1984,vozac,0
61.5759999999,da,da,0,m,20,1997,vozac,2
9.279,ne,ne,1,m,73,1985,vozac,2
101.1399999997,da,da,1,z,49,1991,putnik,1
322.5579999983,ne,da,1,z,37,1993,putnik,2
23.8979999998,da,da,0,m,46,1997,vozac,2
136.8619999997,da,da,0,z,43,1999,putnik,1
99.1729999995,ne,da,1,m,59,1989,vozac,1
264.5459999964,da,da,1,m,43,1995,vozac,2
43.3759999997,da,da,0,z,60,1995,putnik,1
31.183,da,da,1,z,58,1991,vozac,2
958.1879999936,da,da,1,m,39,1998,vozac,0
62.6109999996,ne,da,1,z,78,1988,putnik,2
88.2479999997,ne,da,0,z,57,1985,vozac,1
58.8699999996,da,da,1,m,25,1996,vozac,2
217.3819999993,ne,da,1,z,33,1988,putnik,2
2911.3389999867,da,da,,m,53,1998,vozac,0
363.3549999967,ne,da,1,z,23,,putnik,1
64.2059999993,ne,da,1,m,30,1993,vozac,2
124.1219999995,da,da,1,m,23,1995,vozac,2
17431.6799998283,da,da,1,m,29,1993,putnik,0
407.8959999979,ne,da,0,z,17,1991,,1
227.9359999988,ne,da,0,m,71,1987,vozac,0
10.9169999999,,da,1,m,26,1990,putnik,0
30.0599999998,ne,da,0,m,30,1991,vozac,2
,da,ne,1,m,18,1999,vozac,1
113.7409999995,ne,da,0,m,37,1990,vozac,2
11.5939999999,da,da,1,z,54,1994,vozac,2
36.7059999998,da,ne,1,m,28,1997,vozac,1
13.051,da,ne,0,z,52,1997,vozac,3
105.6549999993,ne,da,1,m,87,1989,vozac,1
174.2349999994,da,da,1,m,48,1994,vozac,0
22.156,ne,da,1,z,22,1991,vozac,2
914.0719999969,ne,ne,0,z,19,1984,putnik,0
584.0119999945,ne,da,1,m,56,1987,vozac,1
11.72,da,da,1,m,29,2001,vozac,2
15.6079999999,ne,ne,1,z,18,1980,vozac,2
9372.9029999971,ne,da,1,z,61,1990,putnik,0
544.9639999941,da,da,1,z,35,2000,vozac,0
102.3849999998,da,da,1,z,67,1997,vozac,2
510.4279999994,da,da,1,m,40,1997,vozac,0
38.6969999997,ne,da,0,m,16,1988,putnik,2
88.5399999991,da,da,1,z,40,1995,vozac,2
92.4649999999,da,da,1,z,29,2000,vozac,0
290.9909999967,da,da,1,z,55,1997,vozac,2
50.6869999999,ne,ne,1,m,32,1991,putnik,3
57.2929999996,ne,da,1,z,16,1989,vozac,1
776.1329999939,da,da,0,z,56,1995,vozac,1
202.4389999993,da,da,1,m,42,1996,vozac,0
,da,da,0,z,30,1996,vozac,2
6036.9309999943,ne,da,0,m,34,1985,vozac,2
42.5209999997,ne,ne,1,m,70,1988,vozac,2
290.4139999971,ne,ne,1,m,21,1992,putnik,2
624.1659999937,ne,ne,0,z,17,1989,vozac,2
143.193,da,da,,z,62,1995,putnik,0
24.2679999999,da,da,0,m,29,2002,vozac,0
200.4859999996,ne,ne,1,m,35,,vozac,2
64.8289999999,da,ne,0,z,26,2000,vozac,2
154.4889999982,ne,ne,0,z,31,1993,vozac,1
176.6499999985,da,da,1,z,32,1996,vozac,1
34.0529999998,da,da,1,m,57,1994,putnik,1
37.6369999996,ne,ne,1,z,49,1992,vozac,2
1003.2239999995,da,da,1,m,16,1999,vozac,0
301.5119999982,da,da,1,z,51,1999,vozac,0
19.8659999999,ne,da,1,z,29,1991,putnik,2
89.3799999999,da,da,1,m,50,1996,vozac,2
42.4909999999,da,da,1,z,77,1997,putnik,2
70.6269999994,ne,ne,1,m,24,1991,vozac,2
114.0179999992,da,da,1,z,53,1996,vozac,1
1324.7959999889,da,da,0,m,16,1995,vozac,
22.2779999999,da,da,1,z,70,1993,vozac,1
10.7629999999,ne,da,0,z,46,1984,putnik,2
1670.7969999909,da,ne,1,z,21,2002,vozac,1
45.2549999999,ne,da,1,z,18,1979,putnik,0
342.2369999997,ne,da,1,z,35,1983,vozac,2
18.9419999998,ne,ne,1,m,27,1987,vozac,2
45.5749999997,da,da,1,z,63,1990,vozac,2
49.4829999995,da,da,1,m,38,1997,vozac,1
59.872,da,da,1,z,52,1999,vozac,2
553.5219999999,da,da,1,z,19,1994,vozac,1
72.176,da,ne,1,m,22,1995,vozac,1
369.0859999992,ne,da,1,z,69,1990,vozac,1
40.8419999997,ne,ne,1,z,89,1993,putnik,3
42.0669999998,da,da,1,m,61,1995,vozac,2
846.423999995,ne,da,0,z,39,1990,vozac,0
2321.7909999788,da,da,1,m,27,1998,vozac,1
269.4479999989,da,da,1,z,38,2001,vozac,1
12.9019999999,da,ne,1,z,72,1999,putnik,1
324.4909999967,ne,ne,0,z,26,1985,vozac,0
445.6949999966,ne,da,1,m,33,1979,vozac,1
141.0809999984,da,da,1,z,18,1994,vozac,2
86.9859999996,ne,da,1,z,39,1991,vozac,2
44.1369999996,da,da,1,m,79,1996,vozac,2
844.3819999993,ne,da,1,z,40,1991,vozac,0
76.602,ne,da,0,m,42,1988,vozac,2
9.8559999999,ne,ne,1,m,23,1989,putnik,2
172.9459999986,da,da,1,m,48,1998,vozac,0
8.627,ne,da,1,z,21,1993,putnik,2
442.6329999976,da,da,1,m,18,1989,vozac,0
473.2019999996,da,da,1,z,37,1994,vozac,0
81.517,da,ne,1,z,35,1995,putnik,2
41.5349999997,da,da,1,m,17,1999,vozac,0
41.2939999998,da,da,1,m,23,2001,vozac,0
44.7379999999,ne,ne,1,z,19,1992,vozac,2
26.3869999999,da,da,0,m,42,1991,vozac,1
17.1059999999,da,da,1,m,34,1996,vozac,2
53.3419999997,ne,ne,1,m,44,1987,putnik,0
86.9859999996,ne,da,1,m,20,1991,vozac,2
745.3509999961,da,da,0,z,17,1990,putnik,0
453.1449999996,da,da,1,z,67,2000,putnik,2
349.9339999966,da,da,0,z,48,1997,putnik,0
56.0399999996,da,ne,1,m,27,1993,vozac,2
46.5659999996,ne,da,1,m,24,1994,putnik,3
411.9509999976,da,da,0,m,67,1998,vozac,2
4.8529999999,da,da,0,z,39,1996,vozac,2
417.9089999981,da,ne,0,m,23,1992,putnik,1
65.7259999998,da,da,1,z,19,1996,vozac,2
96.7659999998,da,ne,1,m,71,1998,vozac,2
192.8529999983,ne,da,0,m,91,1984,vozac,2
30.3709999998,da,da,0,z,48,1995,vozac,2
156.625,ne,da,1,z,39,1988,putnik,1
273.2599999979,da,da,0,m,25,1998,putnik,0
31.4509999999,ne,da,0,m,51,1988,vozac,2
36.9049999998,ne,ne,1,m,35,1980,vozac,2
111.693,ne,ne,0,m,30,1993,vozac,0
857.1879999936,ne,da,0,m,76,1989,vozac,2
198.5939999986,ne,da,0,m,46,1989,vozac,2
75.0539999995,da,da,0,z,79,1995,putnik,2
6.415,da,da,0,z,17,1997,putnik,2
66.5529999994,da,da,0,m,67,1997,vozac,2
68.8879999993,da,da,1,z,53,1999,putnik,0
167.8069999982,da,ne,1,m,20,1994,putnik,0
49.4829999995,da,ne,1,m,69,1999,vozac,2
81.9959999993,ne,ne,1,m,66,1992,vozac,2
11.1429999999,da,da,1,m,29,1993,vozac,2
52.4139999999,da,da,0,m,64,1993,vozac,2
156.1599999983,ne,da,0,z,51,1990,vozac,0
175.2169999983,da,da,1,z,60,2000,vozac,2
158.9809999987,da,da,1,z,44,1990,vozac,0
964.985999994,ne,da,1,m,20,1992,vozac,1
2316.4389999807,da,da,0,m,31,1993,vozac,0
40.6609999998,da,da,1,m,52,1998,vozac,0
726.5139999986,ne,ne,1,m,41,1988,vozac,2
970.474999994,ne,da,1,m,55,1984,vozac,1
53.4049999998,da,ne,0,m,26,1996,vozac,2
75.5279999999,ne,da,0,z,53,1989,vozac,0
86.7129999995,da,ne,1,z,62,2000,vozac,3
142.8449999988,da,da,1,z,18,1998,vozac,2
38.3949999996,ne,da,1,z,74,1989,vozac,2
197.8329999987,da,da,1,z,55,2000,vozac,1
56.4199999999,da,ne,1,m,61,1993,vozac,1
103.9989999998,ne,ne,1,z,35,1987,vozac,1
34.3259999999,ne,ne,0,z,22,1990,vozac,2
582.9109999985,da,da,0,m,18,1996,vozac,2
510.2779999971,ne,da,1,m,29,1987,vozac,0
3.884,da,ne,1,m,35,1999,vozac,2
47.5029999996,da,da,0,z,43,1997,vozac,2
82.1949999994,ne,ne,0,m,39,1989,vozac,2
60.4409999996,ne,ne,0,z,17,1989,vozac,1
1191.4289999902,da,da,1,m,24,2001,vozac,0
385.5129999965,da,ne,0,z,53,2000,vozac,1
119.2859999994,da,ne,0,z,20,1993,vozac,2
115.7309999997,da,da,1,m,17,1997,vozac,1
23.835,ne,da,1,z,18,1989,vozac,2
34.6169999996,da,ne,0,m,28,1994,vozac,2
125.2249999996,da,da,1,z,41,1993,vozac,2
18.8259999999,da,da,1,z,40,2001,vozac,2
237.4309999999,da,ne,1,m,16,1995,putnik,0
36.0059999996,ne,da,1,m,43,1985,vozac,2
,da,ne,1,z,29,1996,vozac,2
51.1369999996,da,ne,0,m,25,1989,vozac,2
80.3559999997,da,da,1,m,32,1999,vozac,1
81.9959999993,ne,ne,1,m,19,1994,putnik,2
9.026,da,da,1,z,30,1993,vozac,2
1473.5279999971,da,da,1,z,23,1996,vozac,1
18.8259999999,da,da,0,m,58,2002,vozac,0
51.3679999998,ne,ne,1,m,19,1987,vozac,2
606.3759999946,da,ne,1,m,17,1996,vozac,0
520.435999997,da,da,0,z,23,1994,putnik,2
27.3429999999,da,da,1,m,37,1998,vozac,2
80.7469999995,da,ne,1,z,19,2000,putnik,2
31.3419999999,ne,ne,1,z,46,1990,putnik,2
4672.915999949,ne,da,1,m,26,1991,vozac,0
509.4889999963,ne,ne,1,m,19,1990,vozac,0
21.2359999998,da,da,1,z,72,1998,putnik,2
5.911,ne,da,0,z,76,1985,vozac,3
408.0739999972,da,da,1,z,19,1997,vozac,0
3758.7439999878,da,da,1,m,42,1996,vozac,0
523.8559999987,ne,da,1,z,17,1993,putnik,0
4.754,da,da,0,m,30,1998,vozac,1
1406.6119999886,ne,ne,1,m,66,1983,putnik,1
54.284,ne,ne,0,z,31,1985,putnik,2
746.7429999933,da,da,0,z,43,2001,vozac,1
897.5989999995,ne,da,0,m,17,1990,vozac,0
49.7679999997,da,da,0,m,36,1995,vozac,0
81.5569999991,da,ne,0,z,19,1998,vozac,3
78.1059999997,da,da,1,z,47,1994,vozac,2
26.9859999998,ne,da,1,z,33,1986,vozac,2
45.5749999997,da,da,1,z,62,1998,putnik,2
23.0809999998,ne,da,1,m,45,1991,vozac,2
17.3149999999,ne,da,1,z,21,1990,vozac,0
4.29,da,da,1,m,38,1997,vozac,2
44.7379999999,ne,ne,1,m,19,1987,vozac,1
72.1689999998,da,da,0,z,24,1998,vozac,0
51.1639999999,da,da,1,m,38,1997,vozac,0
72.176,da,da,1,m,20,1994,putnik,2
890.8179999962,da,da,1,z,53,2000,vozac,0
283.2979999967,da,da,0,m,30,1997,vozac,1
52.4139999999,ne,ne,1,m,44,1989,vozac,2
563.3769999966,ne,ne,1,m,55,1986,vozac,2
33.2879999997,ne,ne,0,m,79,1986,vozac,2
116.1399999997,da,ne,0,m,26,1998,vozac,0
10.7779999999,ne,da,0,m,19,1990,putnik,2
179.1959999986,ne,da,1,m,24,1988,vozac,2
167.1549999993,da,da,0,m,51,1995,vozac,0
25.7049999998,da,da,1,m,40,1994,vozac,2
7392.7769999504,da,ne,1,m,37,1996,vozac,0
50.6169999996,da,ne,1,m,75,1995,vozac,2
447.3589999974,ne,ne,1,z,60,1991,vozac,1
13.556,ne,da,1,m,71,1986,vozac,2
24.781,da,da,1,z,81,1997,putnik,2
24.3239999998,da,da,1,z,18,1998,vozac,2
168.2979999986,ne,ne,1,z,24,1995,vozac,2
380.7799999975,da,da,0,m,33,1996,vozac,1
86.2209999999,ne,ne,1,m,42,1991,vozac,0
200.8959999997,da,da,1,z,25,1995,vozac,2
18.8089999999,da,da,1,m,32,2000,vozac,2
749.0599999949,ne,da,1,m,50,1991,vozac,1
1094.6319999993,da,da,1,z,50,1996,vozac,2
104.3399999999,ne,da,1,z,28,1988,vozac,0
86.2209999999,da,da,1,m,16,1996,vozac,0
172.3539999984,ne,da,0,m,85,1984,putnik,0
40.0699999998,ne,da,1,z,31,1991,vozac,1
1990.7619999945,ne,ne,0,m,27,1994,putnik,2
140.0689999983,da,da,0,m,16,1998,vozac,2
14.757,ne,,1,m,31,1986,vozac,2
51.8099999996,ne,da,0,z,81,1996,putnik,1
570.6679999977,ne,ne,1,m,23,1994,vozac,2
474.7029999979,ne,da,1,z,32,1987,vozac,0
6912.3809999824,ne,da,0,m,26,1988,vozac,0
32.6379999998,da,da,0,m,53,2000,vozac,2
10.169,da,da,0,m,22,1998,vozac,2
629.8889999986,da,da,1,z,20,1995,vozac,2
15.0739999999,da,ne,1,z,23,1995,vozac,1
7.651,da,ne,0,z,22,1994,putnik,3
692.4179999977,da,da,1,m,28,1992,vozac,1
10.034,ne,da,1,m,39,1987,vozac,2
68.5529999994,da,da,1,z,63,1995,vozac,2
222.0019999985,da,ne,1,m,22,1995,vozac,2
46.6409999998,ne,ne,1,m,27,1986,putnik,2
46.6409999998,da,da,1,m,35,1996,vozac,2
206.0799999982,da,da,0,z,54,1994,vozac,2
12.3829999999,ne,da,1,z,24,1987,vozac,2
288.1229999997,da,ne,0,m,74,2000,vozac,2
6.165,ne,da,1,m,23,1983,vozac,2
660.0059999973,da,da,1,m,50,1994,vozac,2
390.2089999989,da,ne,1,m,37,1990,vozac,2
75.801,ne,ne,1,m,27,1991,putnik,0
5.6079999999,ne,da,0,m,35,1995,vozac,2
947.9939999953,ne,ne,1,z,34,1993,putnik,0
29.0919999999,da,da,1,m,20,1995,vozac,0
172.2159999982,da,da,0,m,27,1997,vozac,2
55.0739999996,ne,ne,1,z,24,1986,putnik,2
63.6329999999,ne,da,0,z,71,1987,putnik,3
93.2049999991,da,da,0,z,64,1998,vozac,2
1663.9959999919,ne,da,1,z,16,1984,vozac,0
71.7969999993,ne,da,0,m,29,1976,vozac,1
94.5379999997,ne,da,1,m,16,1992,vozac,2
,da,da,1,m,28,1998,vozac,2
63.1239999998,ne,da,1,z,,1991,vozac,1
2224.5299999714,da,da,1,m,38,1995,vozac,0
11.7829999999,da,da,0,m,32,1996,vozac,2
415.549999997,da,da,1,m,26,1998,vozac,0
2248.9489999712,da,da,0,z,16,1995,vozac,0
22.7649999999,da,da,0,z,55,1992,putnik,2
72.176,ne,da,1,z,47,1993,vozac,2
37.1239999998,da,da,1,z,54,1996,putnik,2
180.2829999998,da,ne,0,m,72,1992,vozac,2
3.698,ne,ne,1,z,34,1993,vozac,2
28.166,ne,da,1,z,17,1993,vozac,2
133.7629999984,ne,ne,1,z,19,1982,putnik,1
27.7989999999,ne,da,1,m,19,1992,vozac,3
43.5629999996,da,ne,0,z,21,2000,vozac,1
19.1329999999,da,da,1,m,47,2000,vozac,1
4.2879999999,ne,da,0,m,82,1987,vozac,2
89.875,da,ne,0,m,36,1998,vozac,0
279.3309999965,da,da,1,z,68,2000,vozac,2
81.5429999996,da,ne,1,z,37,1995,vozac,2
29.416,ne,da,1,m,83,1985,vozac,2
729.4899999946,ne,da,0,z,18,1986,vozac,0
497.7299999967,ne,ne,1,m,88,1973,vozac,2
13.338,ne,da,1,z,41,1987,vozac,1
246.9479999989,da,ne,1,z,45,2002,putnik,2
256.5419999994,ne,da,1,z,29,1992,vozac,1
11.7379999999,ne,ne,0,m,27,1982,vozac,2
322.0839999989,ne,ne,1,m,25,1986,vozac,1
53.2219999996,ne,ne,1,z,17,1987,vozac,2
3066.5549999774,ne,ne,1,m,42,1975,vozac,2
495.4439999983,da,da,1,z,53,1995,vozac,1
110.5719999997,ne,ne,0,m,23,1987,vozac,2
336.742999997,da,da,0,z,44,1997,vozac,0
36.7259999998,ne,da,0,z,19,1989,vozac,1
81.6059999997,da,da,0,m,23,1994,vozac,1
107.6079999991,da,da,1,z,18,1995,putnik,1
1118.5719999969,da,da,0,m,50,1998,putnik,1
80.2299999995,ne,da,0,z,88,1989,vozac,3
21.4349999998,da,ne,1,m,30,1999,putnik,1
404.5669999979,da,ne,0,m,20,2000,vozac,0
59.6519999998,da,da,1,m,27,1999,vozac,1
109.5319999997,da,da,1,z,46,1994,vozac,2
13.2729999999,ne,ne,0,z,25,1989,vozac,2
13.338,ne,ne,0,m,75,1983,vozac,2
491.055999998,ne,da,1,m,20,1990,vozac,2
223.0139999986,ne,ne,0,m,56,1990,vozac,0
17.2799999998,da,da,1,m,31,1994,vozac,2
232.9609999992,da,ne,1,m,20,2000,vozac,0
54.3029999998,ne,ne,1,m,18,1989,vozac,2
132.034,da,da,0,m,21,1996,vozac,2
12.3829999999,ne,da,0,m,44,1986,vozac,2
198.5909999982,da,da,1,m,38,1997,vozac,2
210.1649999991,da,da,1,m,45,1993,vozac,2
170.2759999987,da,da,0,z,61,2000,putnik,1
607.4679999948,da,ne,1,z,20,1999,putnik,0
142.5699999984,ne,ne,0,m,46,1982,putnik,2
30.0599999998,da,da,1,m,26,1993,vozac,1
353.9859999977,da,da,1,z,39,1999,putnik,2
1051.3349999934,da,da,0,m,58,1993,vozac,0
23.5839999998,ne,da,0,m,26,1988,vozac,3
19.9279999998,da,,1,m,31,2001,vozac,2
723.0239999965,ne,da,0,z,18,1989,vozac,1
22.1649999998,ne,da,1,z,44,1995,vozac,2
27.4819999998,ne,da,1,z,57,1994,vozac,2
13.585,ne,da,1,m,22,1976,vozac,1
29.3729999999,da,da,0,z,45,1994,putnik,2
754.4599999934,ne,ne,0,z,19,1989,vozac,1
6912.3809999824,da,da,1,m,26,1996,vozac,1
101.8289999999,ne,da,1,m,39,1991,vozac,0
182.0759999994,da,da,1,m,18,1999,vozac,2
328.7599999979,ne,ne,1,m,24,1973,vozac,0
1266.2029999942,ne,ne,1,m,23,1986,vozac,0
54.3299999996,ne,da,0,z,42,1988,putnik,2
872.0969999954,da,da,1,z,31,1996,vozac,0
116.8089999994,da,da,0,m,27,1991,vozac,1
25.0359999998,ne,ne,1,m,19,1985,putnik,2
457.1559999995,da,da,0,z,29,1994,vozac,0
56.0149999997,ne,da,1,m,34,1989,vozac,3
81.517,da,ne,1,m,26,1995,vozac,2
80.3649999993,ne,da,0,m,16,1976,vozac,2
206.6279999986,da,da,1,z,29,1995,vozac,2
51.3679999998,ne,da,0,m,25,1991,vozac,2
190.0179999992,da,da,1,z,21,1994,vozac,1
190.3369999994,ne,ne,1,m,21,1986,vozac,0
59.2419999996,ne,da,1,z,28,1991,vozac,0
55.5009999997,da,da,1,z,59,1996,vozac,2
93.2389999991,ne,da,1,z,18,1993,vozac,2
49.4149999996,ne,ne,1,z,22,1993,putnik,3
628.487999998,da,da,0,z,69,1995,vozac,2
194.175999999,ne,da,0,z,30,1989,putnik,0
139.3599999994,da,ne,1,m,53,1992,vozac,2
1040.7779999971,da,da,1,z,69,1993,vozac,2
34.0529999998,ne,da,0,z,25,1991,vozac,2
22.1649999998,ne,da,1,m,58,1990,vozac,0
52.4139999999,ne,da,1,z,50,1985,putnik,3
23.1709999999,da,da,0,z,21,1996,vozac,2
67.318,ne,da,0,m,42,1991,vozac,1
1,da,da,1,m,35,2002,vozac,2
596.6379999965,ne,da,0,m,25,1986,vozac,1
7.752,da,da,0,m,20,2000,vozac,0
221.0969999991,ne,da,1,z,42,1994,vozac,2
210.0459999982,da,da,1,z,71,1999,vozac,2
51.1639999999,da,da,0,m,45,1995,vozac,0
425.1329999976,da,da,0,m,20,1994,vozac,0
1270.2429999858,ne,da,1,m,59,1991,putnik,0
261.2169999965,da,da,1,m,76,1991,vozac,0
124.4279999994,ne,da,0,m,36,1993,vozac,3
47.8169999998,da,da,0,m,20,1994,vozac,2
41.855,da,da,1,m,18,1994,putnik,0
32.6199999996,da,da,0,m,22,1997,vozac,0
555.4299999997,ne,ne,1,z,16,1989,putnik,2
388.5739999972,ne,da,1,m,29,1990,vozac,0
371.2519999966,da,da,1,z,31,2001,putnik,1
9844.8779999018,ne,da,1,z,76,1993,putnik,0
431.8499999978,da,da,1,z,35,1995,vozac,0
763.6769999936,da,da,0,z,21,1997,vozac,0
428.2469999976,ne,da,1,m,16,1990,vozac,1
870.0419999957,ne,da,1,z,31,1988,putnik,0
2.964,ne,da,1,m,41,1986,vozac,0
6023.8809999824,ne,da,1,m,38,1991,vozac,0
62.284,ne,ne,1,m,34,1993,putnik,2
32.7079999996,ne,ne,1,m,43,1988,putnik,2
513.6899999976,ne,da,0,m,18,1989,vozac,0
13.0049999999,ne,da,0,m,19,1991,vozac,2
12.3829999999,ne,ne,1,m,50,1989,vozac,2
16.7389999998,da,ne,1,z,26,2001,vozac,2
75.0539999995,da,ne,1,m,36,1998,putnik,0
30.0599999998,da,da,1,z,51,1994,vozac,2
383.7519999966,ne,ne,1,z,38,1993,putnik,2
399.625,ne,ne,1,m,22,1990,vozac,0
605.2769999951,ne,da,1,z,45,1990,vozac,2
36.227,da,da,0,z,49,1996,vozac,2
4503.72299999,da,ne,1,m,18,1998,vozac,2
871.549999997,da,da,0,m,75,2000,vozac,2
1721.3429999948,ne,da,1,z,26,1994,vozac,0
164.9579999987,da,da,0,z,61,1998,vozac,0
170.9349999987,da,da,0,m,77,1998,vozac,2
81.9849999994,da,ne,0,z,,2000,vozac,1
231.9899999984,ne,ne,0,z,53,1980,vozac,1
33.3269999996,ne,da,1,m,45,1989,vozac,0
40.0699999998,ne,da,1,z,17,1995,vozac,2
725.8529999927,da,da,0,z,30,1996,putnik,1
49.406,ne,ne,0,m,18,1991,vozac,3
506.2749999985,da,ne,1,z,36,1990,vozac,1
88.5399999991,da,da,1,m,52,1996,vozac,0
78.5109999999,da,da,1,z,30,1999,putnik,1
65.2119999994,da,da,1,z,20,1999,vozac,1
318.1779999994,ne,da,0,z,17,1970,vozac,1
2410.9369999766,da,da,0,z,25,1995,vozac,1
4.595,da,da,1,m,40,1996,vozac,1
9.8289999999,ne,ne,1,m,55,1991,vozac,2
8.6599999999,da,da,0,z,35,1999,putnik,1
86.2209999999,da,da,0,z,18,1994,vozac,0
1926.6439999938,da,ne,1,m,19,1993,vozac,2
87.7349999994,da,da,1,m,32,2000,vozac,1
27.078,ne,da,1,z,64,1992,putnik,3
15.048,da,ne,0,z,23,1997,vozac,2
12.5499999999,ne,da,1,m,53,1986,vozac,2
348.0309999995,ne,da,0,m,33,1993,vozac,0
1585.4939999878,da,da,0,z,25,2001,putnik,1
398.1989999972,ne,ne,1,z,30,1979,putnik,2
5.258,da,da,1,z,41,1999,vozac,2
0,da,ne,1,z,17,1998,vozac,1
60.5289999996,ne,da,1,m,22,1990,vozac,0
42.6089999997,ne,ne,0,z,74,1990,putnik,3
43.423,ne,ne,1,m,21,1989,putnik,2
49.7679999997,da,da,0,m,29,1996,vozac,2
88.9039999992,da,ne,0,z,46,1994,putnik,2
767.111999996,ne,da,0,z,32,1991,vozac,0
0,da,ne,1,m,33,1998,vozac,2
25.4279999998,da,da,1,z,60,1998,putnik,2
33.6069999998,da,da,0,m,26,1996,vozac,2
1437.9579999894,ne,ne,0,z,21,1985,vozac,2
31.6809999999,da,da,0,z,37,1990,vozac,2
384.2109999992,da,da,1,m,32,1996,vozac,1
405.7039999999,ne,ne,0,z,52,1985,putnik,0
43.6609999998,ne,ne,0,m,18,1986,vozac,2
3.028,ne,da,1,m,24,1987,vozac,2
48.7539999997,da,da,1,m,77,1995,vozac,2
29.0519999999,da,da,1,m,50,1997,vozac,1
246.2149999999,da,da,1,z,43,1995,vozac,0
54.284,ne,ne,0,z,16,1987,vozac,2
106.3839999996,da,da,1,m,31,1999,vozac,1
302.6399999969,da,da,0,m,52,1998,putnik,0
56.4589999998,da,da,1,z,22,1996,vozac,2
1037.5779999942,ne,da,1,m,17,1984,vozac,0
81.9849999994,da,ne,1,m,61,1996,vozac,2
242.3369999994,ne,da,0,z,17,1989,vozac,0
169.3069999982,da,da,0,z,59,1999,vozac,0
14.6749999999,ne,ne,1,m,20,1992,vozac,1
55.3219999997,da,ne,1,m,44,1993,vozac,2
7.98,da,ne,0,z,28,1997,vozac,2
125.7489999998,ne,da,1,m,43,1992,vozac,1
30.2899999998,ne,da,1,z,31,1993,putnik,1
555.4299999997,ne,ne,1,z,19,1989,vozac,2
345.5799999982,da,da,1,m,17,1995,vozac,0
62.1669999999,ne,ne,1,m,30,1976,vozac,2
1.057,ne,da,1,m,24,1992,putnik,3
836.1409999952,ne,da,0,m,22,1992,putnik,0
20.8699999999,ne,da,1,z,84,1987,vozac,2
11.7829999999,ne,da,0,m,44,1988,vozac,2
196.4579999987,da,ne,0,m,17,1994,vozac,2
1817.2539999932,da,da,1,z,18,1996,vozac,2
538.3249999955,da,da,1,m,39,1998,vozac,1
