make,category,year,transmission,color,fuel,engine_size,mileage,price
BMW,Convertible,2008,automatic,silver,petrol,2213,159225,5363
McLaren,Coupe,2018,manual,red,petrol,2196,72930,56428
Audi,Coupe,2001,automatic,silver,petrol,2000,219230,48085
Porsche,Coupe,2010,manual,green,diesel,1983,222963,56739
Honda,SUV,2012,automatic,grey,petrol,2557,120857,453
Hyundai,Sedan,1998,automatic,blue,diesel,1983,653350,31995
Honda,Hatchback,2019,automatic,red,diesel,2475,118672,17185
Toyota,Pickup,1993,CVT,green,hybrid,2967,344430,40806
Audi,Sedan,2014,manual,blue,diesel,1721,205362,22008
Toyota,SUV,1999,automatic,silver,diesel,2557,545040,57585
Toyota,SUV,2009,automatic,grey,petrol,2606,178738,4540
Porsche,Convertible,2004,manual,blue,petrol,2295,192223,95188
Audi,SUV,2014,manual,blue,petrol,2196,116865,5495
Ferrari,Coupe,2015,manual,red,petrol,1500,119048,73516
Toyota,Wagon,2012,automatic,grey,diesel,2835,284922,4105
Kia,Sedan,2008,manual,silver,diesel,2475,408090,2570
Toyota,Sedan,2015,manual,black,diesel,1721,187632,16789
Honda,SUV,2019,manual,silver,petrol,2786,42152,29149
Toyota,Sedan,2004,manual,white,petrol,2196,243143,26909
Honda,SUV,2016,automatic,silver,diesel,2213,204057,21344
Volvo,Wagon,2006,manual,green,petrol,2475,195653,6502
Hyundai,SUV,2008,manual,blue,petrol,2196,212265,1852
Hyundai,Coupe,2019,automatic,green,petrol,2196,48060,18664
Audi,Sedan,2010,manual,black,diesel,2000,306904,9384
Kia,Sedan,1999,manual,blue,diesel,1983,672000,37640
Kia,Wagon,2019,automatic,blue,petrol,1500,34220,25716
Ferrari,Coupe,2013,automatic,white,petrol,1500,129670,58517
Mercedes-Benz,Sedan,2017,automatic,red,electric,1,65988,52778
Kia,Sedan,2015,manual,white,petrol,1606,110128,19015
Volkswagen,Sedan,1996,manual,silver,diesel,1836,776115,34226
BMW,Coupe,2015,manual,silver,petrol,2475,108624,14271
Lexus,SUV,2019,manual,silver,petrol,2786,46392,51118
Mercedes-Benz,Sedan,2013,automatic,grey,electric,1,101030,13094
Toyota,Coupe,2004,manual,red,diesel,1721,462251,14982
Hyundai,Sedan,2007,manual,green,petrol,2196,216448,8928
BMW,Convertible,2014,automatic,silver,petrol,1836,93249,5194
Kia,Sedan,2006,manual,green,diesel,2475,340782,14785
Volvo,SUV,2014,automatic,blue,diesel,2803,235224,5429
BMW,SUV,2012,manual,black,petrol,2967,154913,19042
BMW,SUV,2019,automatic,white,diesel,2213,82300,36235
Audi,Sedan,2005,manual,silver,diesel,2295,525816,3768
FIAT,Hatchback,2016,manual,white,petrol,1500,91728,9013
Toyota,Sedan,1998,manual,black,diesel,1606,520050,12927
Toyota,Coupe,2000,manual,green,petrol,2475,329751,34065
Mercedes-Benz,Coupe,2014,automatic,silver,diesel,1500,165753,14752
Toyota,Pickup,1992,CVT,blue,hybrid,2967,405666,146237
Toyota,Hatchback,1999,manual,red,petrol,1983,267000,10639
Volkswagen,Sedan,1994,manual,blue,petrol,2213,299889,60902
Toyota,Sedan,2017,CVT,green,hybrid,1500,50916,20663
Kia,Sedan,2018,manual,green,diesel,1606,122730,14086
Mercedes-Benz,Coupe,2006,manual,silver,diesel,2196,475439,4756
Toyota,Pickup,2008,CVT,blue,hybrid,2213,155445,4118
Toyota,Sedan,1996,manual,black,diesel,1983,498150,30571
Kia,Sedan,2015,manual,grey,diesel,2295,187232,9078
Honda,Hatchback,2018,manual,blue,diesel,1983,94765,18182
Porsche,Coupe,2000,automatic,green,petrol,1721,267398,45158
Honda,SUV,2009,manual,silver,petrol,2803,113008,8683
Audi,Sedan,2012,manual,green,petrol,1983,123431,518
McLaren,Coupe,2017,automatic,red,petrol,1606,72186,93676
Honda,Hatchback,2015,manual,silver,petrol,1721,78512,5667
Toyota,Pickup,2016,CVT,red,hybrid,2295,58485,37735
Toyota,Hatchback,2014,manual,blue,diesel,2196,189414,2230
Honda,SUV,2007,manual,red,petrol,2213,169024,1472
Audi,Convertible,2009,automatic,grey,diesel,1500,327082,10998
Honda,Sedan,2006,manual,green,diesel,2196,400894,680
Toyota,Sedan,2009,manual,green,diesel,1500,366394,7270
Lexus,Sedan,2002,manual,white,petrol,1721,223986,64270
Honda,Coupe,2000,manual,blue,diesel,2295,532427,21477
Volkswagen,Sedan,2016,manual,blue,diesel,1606,153573,7690
BMW,Coupe,2019,manual,blue,diesel,1500,69440,28924
Volkswagen,Convertible,2001,automatic,silver,hybrid,2196,182182,17545
Kia,Sedan,2008,automatic,grey,petrol,1721,129975,7879
Honda,Sedan,2004,manual,green,diesel,2196,362007,18880
Toyota,Pickup,2014,CVT,red,hybrid,2196,72585,48396
Honda,Minivan,2009,automatic,white,diesel,2213,267134,17068
Toyota,Sedan,2005,automatic,grey,petrol,2475,240534,11359
Volvo,Sedan,1999,automatic,grey,petrol,2475,293496,33996
Volvo,Wagon,2000,manual,white,diesel,2606,576518,55566
Hyundai,SUV,2003,manual,silver,petrol,2967,276900,19418
BMW,SUV,2019,manual,blue,diesel,2000,97968,33187
Honda,Hatchback,2015,manual,black,petrol,1836,84872,7198
Volvo,Sedan,2011,manual,grey,diesel,2000,283008,5961
Kia,Minivan,2003,manual,red,petrol,2606,277440,38940
Honda,Sedan,2009,manual,grey,petrol,2213,118818,3563
Hyundai,SUV,2020,automatic,blue,electric,1,26922,67256
Hyundai,Wagon,2011,automatic,grey,diesel,2835,279852,4165
Toyota,Sedan,2016,automatic,black,petrol,1836,97398,15256
Toyota,Sedan,1998,manual,black,petrol,1836,262350,19619
Ferrari,Coupe,2011,automatic,red,petrol,2196,122520,115026
Toyota,SUV,2019,automatic,silver,diesel,2213,104372,25003
Volkswagen,Hatchback,2015,manual,blue,petrol,1983,92120,8107
Toyota,Minivan,1995,automatic,blue,diesel,2475,650160,45517
Honda,Sedan,2015,automatic,green,petrol,1836,85192,8456
Lexus,Sedan,2009,manual,white,petrol,1606,119966,16766
BMW,Coupe,1996,manual,blue,petrol,2475,357183,28174
Mercedes-Benz,SUV,2003,automatic,white,diesel,2835,498600,54914
Volkswagen,Wagon,2019,manual,black,petrol,2196,57108,20200
Volvo,Sedan,2003,manual,white,petrol,2000,204860,32176
Toyota,SUV,2009,manual,white,petrol,2557,203000,12295
Audi,Sedan,2010,automatic,white,petrol,1606,124059,9250
Toyota,Pickup,2007,CVT,green,hybrid,2213,172416,10963
Hyundai,Coupe,1995,manual,silver,petrol,2196,354256,9769
Lexus,Coupe,1992,manual,white,petrol,1721,425971,67542
Volkswagen,Hatchback,2002,manual,green,petrol,1606,308595,14098
Mercedes-Benz,SUV,2019,manual,blue,diesel,2803,83572,36070
BMW,Coupe,2009,automatic,green,petrol,2475,154938,5633
Lexus,SUV,2009,automatic,white,petrol,1836,194572,6704
Volvo,Wagon,2016,manual,black,petrol,1983,97580,20808
Honda,Coupe,2003,automatic,white,diesel,1500,561400,0
Audi,Sedan,2009,automatic,white,petrol,2475,117866,5002
BMW,Convertible,1998,manual,blue,diesel,1721,695250,77261
Kia,Sedan,2017,manual,red,petrol,2295,75342,18272
Toyota,SUV,2010,automatic,white,diesel,2967,385151,6961
BMW,Coupe,2017,manual,green,diesel,2475,127002,32005
Lexus,Sedan,2001,automatic,blue,hybrid,1836,187308,6300
Toyota,Convertible,2003,automatic,green,diesel,1606,471380,6825
Toyota,Pickup,2020,automatic,grey,hybrid,2835,37968,68993
Volkswagen,SUV,2017,manual,white,petrol,2557,55362,21143
Hyundai,SUV,2011,manual,white,diesel,2803,299748,1431
Audi,Convertible,2013,manual,silver,diesel,2000,273620,0
Porsche,Convertible,2003,manual,blue,petrol,1606,245100,47995
Toyota,Sedan,2018,manual,grey,petrol,1721,50575,15188
Volvo,Wagon,2007,automatic,grey,petrol,1983,222368,4622
Volkswagen,Hatchback,2000,manual,black,petrol,2213,225009,9707
Hyundai,Sedan,2014,manual,white,petrol,2213,90387,12136
Honda,Sedan,2020,manual,silver,petrol,1500,24045,21573
Toyota,SUV,2020,automatic,black,diesel,2213,75363,33610
Audi,Sedan,2017,automatic,white,petrol,1983,55344,19192
Kia,SUV,1999,automatic,red,petrol,2213,265584,33233
Toyota,Sedan,1996,manual,red,petrol,1606,353241,43146
Kia,Sedan,2018,manual,green,petrol,2295,72035,14630
Kia,Sedan,2017,automatic,grey,petrol,2213,69588,18473
Kia,Sedan,2017,manual,green,diesel,1836,145572,18010
Audi,Sedan,2000,manual,green,diesel,1721,607660,69457
Kia,Sedan,2000,automatic,silver,petrol,2213,327060,25295
BMW,Coupe,2010,automatic,black,petrol,1721,167141,4774
Honda,SUV,2015,manual,white,diesel,2606,146104,13986
Audi,SUV,2017,manual,white,diesel,2196,116190,38276
Hyundai,SUV,2017,automatic,silver,petrol,2606,66504,16128
Audi,Sedan,2001,automatic,green,petrol,2295,178222,21404
Audi,Sedan,2004,manual,red,diesel,1500,459686,23462
Lexus,Sedan,2016,CVT,black,hybrid,1500,93499,21116
Mercedes-Benz,Hatchback,2016,manual,red,petrol,2475,60095,28439
Mercedes-Benz,Coupe,2010,manual,white,petrol,2475,172679,3056
Volvo,SUV,2016,manual,blue,diesel,1983,187803,22274
Lexus,Convertible,2006,manual,grey,petrol,2196,234736,30148
Lexus,Sedan,1993,CVT,red,hybrid,1983,333840,91347
Mercedes-Benz,Sedan,2018,automatic,green,diesel,1606,103670,24271
Volkswagen,SUV,2019,manual,red,petrol,2606,37584,29973
Mercedes-Benz,Sedan,2016,automatic,grey,petrol,1983,76230,20401
Mercedes-Benz,Wagon,2008,automatic,black,petrol,2967,209400,16726
Toyota,Sedan,2010,automatic,grey,diesel,2000,321724,2683
BMW,Sedan,1997,automatic,grey,petrol,1606,264056,56443
Mercedes-Benz,Minivan,2015,automatic,green,petrol,1983,79512,22547
Volkswagen,Hatchback,2016,automatic,black,petrol,2475,62048,8255
Mercedes-Benz,Minivan,2017,manual,silver,petrol,2835,74112,40715
FIAT,Hatchback,2016,manual,silver,diesel,2213,136059,15285
Porsche,Coupe,2006,automatic,red,petrol,1836,251634,45217
Hyundai,SUV,2013,manual,blue,petrol,2803,128950,17406
Lexus,Coupe,2016,automatic,black,petrol,2213,56679,17265
Honda,SUV,2020,automatic,red,petrol,2000,29868,32386
Audi,Sedan,1996,manual,green,diesel,2213,500877,90386
Toyota,Pickup,2011,automatic,grey,petrol,2475,154284,10694
Toyota,Pickup,1995,CVT,grey,hybrid,2835,354200,87029
Mercedes-Benz,Minivan,2016,manual,white,petrol,2000,58520,40587
Hyundai,Wagon,1997,manual,green,diesel,2606,733096,29727
Kia,Sedan,2004,manual,green,petrol,2196,259730,1504
Volvo,Wagon,2013,automatic,silver,diesel,2803,245360,16134
Lexus,Sedan,2000,manual,grey,petrol,2475,324691,22420
Mercedes-Benz,Sedan,2012,manual,silver,petrol,2475,95216,5515
Volvo,Sedan,2001,manual,grey,petrol,1500,275792,54075
Toyota,Pickup,1998,CVT,white,hybrid,2967,222675,87879
Hyundai,Hatchback,2018,CVT,blue,hybrid,2196,67950,20778
Toyota,Sedan,1995,manual,blue,petrol,2000,391580,59245
Hyundai,Sedan,2003,manual,white,diesel,1836,425200,16414
Volvo,Wagon,2016,manual,silver,diesel,2295,145362,23881
Mercedes-Benz,Sedan,1999,manual,silver,diesel,2475,674424,9777
BMW,Hatchback,2000,manual,blue,petrol,1500,227424,56319
BMW,Sedan,1993,manual,white,diesel,2475,785220,72475
Kia,SUV,2019,manual,blue,petrol,2000,36668,25866
Audi,Coupe,2010,manual,grey,diesel,2196,283751,1553
Lexus,SUV,2010,automatic,blue,petrol,2213,174733,2979
Volkswagen,Sedan,2007,manual,grey,diesel,1983,447632,1163
Audi,Sedan,2009,automatic,grey,diesel,1500,303576,16994
Hyundai,Sedan,2013,manual,grey,diesel,2196,280750,0
Toyota,Hatchback,2018,automatic,white,petrol,2196,62170,15406
Volkswagen,Hatchback,1999,automatic,grey,diesel,1606,495216,14091
Audi,Sedan,2013,manual,blue,petrol,1983,87870,21624
Mercedes-Benz,Sedan,2017,manual,blue,diesel,1606,177930,27342
Ferrari,Coupe,2006,manual,grey,petrol,2196,149345,86259
BMW,Coupe,2008,automatic,silver,diesel,1721,305655,2267
BMW,Hatchback,1995,automatic,black,diesel,2295,704032,14186
Volvo,Sedan,1996,automatic,green,diesel,2475,535950,20539
Volvo,Sedan,1995,automatic,white,petrol,1606,408464,89504
Volvo,Wagon,2018,automatic,blue,diesel,2000,126245,31535
BMW,Coupe,2011,manual,black,petrol,1606,136032,2728
Volkswagen,Convertible,2000,CVT,green,hybrid,1721,255024,34547
Mercedes-Benz,Minivan,2018,automatic,blue,diesel,2196,101465,33092
Hyundai,Wagon,2010,automatic,white,diesel,2196,241371,10149
Toyota,Sedan,2014,manual,red,diesel,2475,205902,15663
Honda,Minivan,2000,manual,grey,diesel,2803,588915,53682
Ferrari,Convertible,2016,manual,black,petrol,1606,90937,116200
Porsche,Sedan,2010,manual,silver,petrol,2213,130845,100719
Audi,Sedan,2007,automatic,green,petrol,1500,215712,17024
Lexus,SUV,2007,manual,blue,petrol,2803,185056,15342
Toyota,Pickup,2017,CVT,silver,hybrid,2557,79842,53956
BMW,SUV,2013,manual,red,petrol,2295,109720,5490
Lexus,Coupe,1994,CVT,white,hybrid,2295,235712,67447
Toyota,Sedan,2014,manual,silver,petrol,1606,85275,9560
Honda,SUV,2000,manual,blue,petrol,1983,338882,12563
Hyundai,Coupe,2013,manual,black,petrol,2196,89310,8029
Audi,Sedan,2013,manual,white,diesel,2196,175210,16480
Toyota,Pickup,2015,CVT,white,hybrid,2835,99984,49794
Toyota,Sedan,2010,manual,black,petrol,1500,137683,4418
Lexus,Sedan,2009,manual,black,petrol,1606,202888,6042
Audi,Sedan,2011,manual,red,petrol,1836,166896,9584
McLaren,Coupe,2015,automatic,grey,petrol,2000,64848,109926
Lexus,SUV,2020,automatic,green,petrol,2000,35418,44817
Audi,Sedan,2018,manual,black,diesel,2000,111250,30107
Volkswagen,Convertible,2003,manual,silver,diesel,2000,475400,12566
Toyota,Sedan,2000,manual,black,petrol,2475,208495,10461
Audi,Sedan,2017,automatic,silver,diesel,1606,142152,24543
Audi,Convertible,1995,CVT,blue,hybrid,2475,342580,72632
Lexus,SUV,2018,manual,black,petrol,2000,43820,40694
Toyota,Hatchback,2005,automatic,black,diesel,2196,430290,2394
Kia,Sedan,2006,manual,silver,diesel,1500,496553,634
Mercedes-Benz,Minivan,2015,automatic,blue,petrol,2803,114008,27159
Kia,SUV,2007,automatic,silver,diesel,2835,341104,1736
Hyundai,Sedan,2002,manual,black,petrol,2213,175917,16229
Ferrari,Coupe,2010,automatic,black,petrol,1721,131170,43868
Mercedes-Benz,Wagon,2012,manual,white,petrol,2000,163944,20036
Volvo,Wagon,2000,manual,blue,petrol,2606,258589,53593
Toyota,Sedan,2004,manual,red,diesel,2196,332443,8475
Toyota,SUV,2020,manual,silver,diesel,2803,59571,24796
Mercedes-Benz,Coupe,2011,automatic,grey,electric,1,169368,13632
Toyota,SUV,2009,manual,green,petrol,2213,169134,14369
Volkswagen,Sedan,2018,automatic,silver,diesel,1606,136220,15559
Mercedes-Benz,Sedan,2015,automatic,white,petrol,1721,71976,15690
Audi,SUV,2017,manual,black,petrol,2803,59994,38620
Hyundai,Coupe,2011,manual,red,diesel,1983,264012,3322
Mercedes-Benz,Sedan,2001,manual,silver,petrol,2196,290576,29387
Toyota,Coupe,1994,automatic,silver,petrol,2000,380625,17974
Volkswagen,Sedan,2014,automatic,silver,petrol,2295,115353,3236
Lexus,SUV,2007,automatic,silver,hybrid,2557,145328,59617
Kia,Sedan,2006,manual,green,petrol,1836,232101,643
Toyota,SUV,2009,manual,white,diesel,2967,255598,944
Audi,Coupe,2011,manual,silver,petrol,1983,154644,6409
Volkswagen,Sedan,1996,manual,green,diesel,1500,712098,25377
Porsche,Coupe,2007,automatic,green,petrol,1983,240000,54568
Audi,SUV,2020,manual,grey,petrol,2786,25797,50669
Hyundai,Sedan,2004,automatic,green,diesel,2196,327408,8608
Toyota,SUV,2016,manual,red,petrol,2475,77560,14832
Volvo,Sedan,2008,manual,silver,petrol,2295,165495,4518
Lexus,SUV,2003,manual,grey,petrol,2295,205620,10679
Mercedes-Benz,Convertible,2008,manual,black,diesel,1606,266895,9492
Mercedes-Benz,Coupe,2018,manual,green,petrol,1721,50815,23848
Volkswagen,Sedan,1992,manual,black,petrol,2475,307086,14562
Toyota,Pickup,2017,CVT,white,hybrid,2786,68076,61066
Kia,Wagon,2012,manual,white,diesel,2295,208582,338
Honda,Hatchback,2019,manual,silver,petrol,1606,52356,22719
Kia,Wagon,2019,manual,blue,diesel,1721,71044,17830
Toyota,Pickup,2006,CVT,black,hybrid,2196,152031,13597
Mercedes-Benz,SUV,2018,manual,red,diesel,2000,113060,43742
Lexus,Sedan,2001,manual,green,petrol,2196,300190,43695
Hyundai,Hatchback,1997,manual,silver,petrol,2475,311610,33713
Kia,Wagon,2007,automatic,green,petrol,1983,218688,1385
Mercedes-Benz,Convertible,2018,manual,green,petrol,2475,66005,45289
Toyota,Hatchback,1994,automatic,green,petrol,2213,294698,17756
Honda,Coupe,1993,manual,green,petrol,2475,245940,41491
Toyota,Sedan,1998,automatic,silver,petrol,1606,235800,18873
BMW,Convertible,2012,manual,grey,diesel,2295,322916,12110
Toyota,Pickup,1992,CVT,red,hybrid,2196,273544,81862
Toyota,SUV,2010,automatic,black,petrol,2475,113867,11018
Toyota,Minivan,2016,manual,black,petrol,2557,61733,17552
Toyota,Sedan,2011,manual,blue,diesel,2295,351816,1072
Volvo,Wagon,2000,manual,red,diesel,2803,509450,15896
Mercedes-Benz,Coupe,2018,manual,green,diesel,2213,127775,26342
Mercedes-Benz,Coupe,2011,automatic,black,petrol,2475,110448,1835
Audi,SUV,2017,manual,red,diesel,2475,151608,34726
Honda,Coupe,1997,automatic,red,petrol,2196,242996,6266
Toyota,Pickup,2013,CVT,blue,hybrid,2475,87330,15342
Lexus,Sedan,1995,manual,green,petrol,2213,251804,44365
Volvo,Coupe,2000,automatic,black,petrol,1721,293273,5551
BMW,SUV,2017,automatic,white,diesel,2213,160968,44456
Mercedes-Benz,Sedan,1993,manual,white,diesel,1836,721530,43972
Audi,Sedan,2018,manual,blue,diesel,2000,88625,38081
Lexus,Sedan,2010,manual,grey,petrol,2000,177736,7617
Audi,Wagon,2004,automatic,silver,petrol,1500,152532,30864
Kia,Sedan,2011,manual,black,diesel,2213,347580,4710
Mercedes-Benz,Sedan,1993,manual,red,petrol,1500,292560,34848
Toyota,SUV,2013,automatic,silver,diesel,1836,252370,3334
Honda,Sedan,2019,CVT,white,hybrid,2295,52208,26524
Hyundai,SUV,2010,manual,red,diesel,2295,245648,16620
Porsche,SUV,2016,manual,white,petrol,2000,68481,125106
Volkswagen,Hatchback,2004,manual,black,diesel,1606,529017,24614
Hyundai,Sedan,2011,manual,green,petrol,1500,177156,2760
Mercedes-Benz,Coupe,2006,manual,white,petrol,2475,252280,582
Toyota,Pickup,2008,CVT,silver,hybrid,2475,132405,40644
Lexus,Coupe,2020,manual,white,petrol,1500,41247,30239
Honda,Coupe,1995,manual,green,diesel,2213,781788,53560
Volkswagen,Hatchback,2018,manual,silver,petrol,2295,62710,17661
Volkswagen,SUV,2018,automatic,black,petrol,2213,74160,23680
Mercedes-Benz,Coupe,2010,automatic,silver,diesel,2213,240110,10383
Hyundai,Hatchback,2001,manual,black,petrol,1721,234564,15741
BMW,Coupe,2006,automatic,silver,petrol,2196,152558,6805
Volkswagen,Hatchback,2008,manual,green,diesel,1983,413760,11943
BMW,Hatchback,2019,manual,white,diesel,2213,83316,17791
Volkswagen,Sedan,2009,automatic,blue,petrol,2475,136780,9334
Volvo,Hatchback,2011,automatic,grey,petrol,1500,152352,5647
BMW,SUV,2017,automatic,green,diesel,2213,139536,49166
Lexus,Coupe,2017,manual,blue,petrol,1500,50376,25983
Volkswagen,SUV,2013,manual,green,petrol,1836,116200,0
Toyota,Pickup,1994,CVT,white,hybrid,2835,347884,109310
Kia,Sedan,2001,manual,red,petrol,1836,252516,10633
Mercedes-Benz,Sedan,2008,manual,green,diesel,1721,278940,10562
Honda,Hatchback,2005,automatic,grey,diesel,1721,536310,17663
Lexus,Sedan,2015,manual,silver,petrol,2475,85248,13297
Audi,Coupe,2009,automatic,white,petrol,1836,205170,3917
Honda,SUV,2005,automatic,green,diesel,2967,473472,7812
Toyota,SUV,2019,manual,silver,diesel,2557,102428,33645
Volkswagen,Sedan,2015,automatic,green,diesel,1836,164984,5660
Hyundai,Hatchback,1997,manual,black,petrol,1721,222508,17054
Honda,Coupe,1997,automatic,red,petrol,2213,384306,22677
Kia,SUV,2016,automatic,blue,diesel,2835,188349,15557
Lexus,SUV,2006,automatic,white,petrol,2557,227528,11853
Lexus,SUV,2017,CVT,red,hybrid,2557,58980,34105
Lexus,Sedan,2009,manual,green,petrol,2295,183694,10867
Ferrari,Convertible,2017,automatic,black,petrol,1836,68340,138496
Volkswagen,Sedan,1993,automatic,red,petrol,1606,297420,12655
Volkswagen,Hatchback,2013,automatic,black,diesel,2196,171970,0
Hyundai,Hatchback,1996,manual,white,petrol,1500,375381,33205
Honda,SUV,2018,automatic,white,diesel,2835,93890,20146
Toyota,SUV,2018,CVT,grey,hybrid,2000,44265,33026
Kia,Sedan,2006,manual,green,petrol,1836,203371,4532
